date,symbol,open_interest,open_interest_usd
2024-01-02T04:00:00Z,ADAUSDT,147440763,93002612.23916613
2024-01-02T08:00:00Z,ADAUSDT,145494723,91337107.31687883
2024-01-02T12:00:00Z,ADAUSDT,146817922,92014045.20255151
2024-01-02T16:00:00Z,ADAUSDT,147092928,90359151.83902656
2024-01-02T20:00:00Z,ADAUSDT,146255993,89932200.20820919
2024-01-03T00:00:00Z,ADAUSDT,149343627,90440239.44868723
2024-01-03T04:00:00Z,ADAUSDT,148331605,90445335.5804587
2024-01-03T08:00:00Z,ADAUSDT,148591910,90626205.909
2024-01-03T12:00:00Z,ADAUSDT,149743733,89159058.32207635
2024-01-03T16:00:00Z,ADAUSDT,128989562,72793269.00575835
2024-01-03T20:00:00Z,ADAUSDT,122739123,68054468.05376504
2024-01-04T00:00:00Z,ADAUSDT,121309895,67561068.8721941
2024-01-04T04:00:00Z,ADAUSDT,119666307,67019309.09476734
2024-01-04T08:00:00Z,ADAUSDT,117855793,65488558.42911998
2024-01-04T12:00:00Z,ADAUSDT,118319626,66009951.4111952
2024-01-04T16:00:00Z,ADAUSDT,115326096,66245204.35015728
2024-01-04T20:00:00Z,ADAUSDT,115161893,65868033.17208576
2024-01-05T00:00:00Z,ADAUSDT,116383162,66322490.43409136
2024-01-05T04:00:00Z,ADAUSDT,112295694,62019199.2868665
2024-01-05T08:00:00Z,ADAUSDT,114590498,63334168.2446
2024-01-05T12:00:00Z,ADAUSDT,116639997,63207214.3743
2024-01-05T16:00:00Z,ADAUSDT,118636599,62959555.68753948
2024-01-05T20:00:00Z,ADAUSDT,119301416,62979217.5064
2024-01-06T00:00:00Z,ADAUSDT,119067029,64439565.46028919
2024-01-06T04:00:00Z,ADAUSDT,117838950,62924791.4507625
2024-01-06T08:00:00Z,ADAUSDT,119622640,61928640.728
2024-01-06T12:00:00Z,ADAUSDT,119718762,62325587.4972
2024-01-06T16:00:00Z,ADAUSDT,118457657,62252278.95470979
2024-01-06T20:00:00Z,ADAUSDT,118337678,61802141.07943432
2024-01-07T00:00:00Z,ADAUSDT,118558499,61990570.92714094
2024-01-07T04:00:00Z,ADAUSDT,117164477,61059272.46214027
2024-01-07T08:00:00Z,ADAUSDT,118350582,62361549.0387204
2024-01-07T12:00:00Z,ADAUSDT,119374877,62122685.9908
2024-01-07T16:00:00Z,ADAUSDT,120937651,62189602.58914813
2024-01-07T20:00:00Z,ADAUSDT,118154591,61099309.28061439
2024-01-08T00:00:00Z,ADAUSDT,117726589,58193603.26667583
