Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-25000-C,CALL,25000,2.5,21423.71373371,6.586682583734144e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-25000-P,PUT,25000,3580,21424.19990746,6.586567610955855e-4,3610,3550,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-26000-C,CALL,26000,2.5,21424.19990746,6.586487945840179e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-26000-P,PUT,26000,4580,21424.19990746,6.586386302305562e-4,4610,4550,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-27000-C,CALL,27000,2.5,21424.19990746,6.586310310768391e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-27000-P,PUT,27000,5580,21424.19990746,6.586235160152662e-4,5610,5550,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-28000-C,CALL,28000,2.5,21424.19990746,6.58615874622692e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-28000-P,PUT,28000,6905,21424.19990746,6.586063906951098e-4,7650,6160,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-30000-C,CALL,30000,2.5,21424.78356983,6.585966657179978e-4,5,0,NA,NA
2023-03-09T18:13:41Z,2023-03-10,BTC-230310-30000-P,PUT,30000,8487.5,21424.78356983,6.585867083024277e-4,8900,8075,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-20500-C,CALL,20500,930,21424.78356983,0.0033983051994846657,1010,850,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-20500-P,PUT,20500,47.5,21424.78356983,0.0033982976874396137,50,45,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21000-C,CALL,21000,470,21424.78356983,0.0033982899931860964,560,380,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21000-P,PUT,21000,115,21424.78356983,0.003398282395990472,125,105,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21200-C,CALL,21200,397.5,21424.78356983,0.003398274887937208,420,375,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21200-P,PUT,21200,175,21424.78356983,0.003398267276067228,190,160,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21400-C,CALL,21400,275,21425.59496794,0.0033982598166185127,285,265,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21400-P,PUT,21400,255,21425.59496794,0.0033982523199811553,270,240,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21500-C,CALL,21500,227.5,21425.59496794,0.0033982447797138637,240,215,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21500-P,PUT,21500,307.5,21425.59496794,0.0033982370944947897,325,290,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21600-C,CALL,21600,180,21425.29987426,0.0033982289777392967,195,165,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21600-P,PUT,21600,360,21425.29987426,0.003398221366247328,380,340,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21700-C,CALL,21700,140,21425.29987426,0.0033982139179347917,150,130,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21700-P,PUT,21700,427.5,21425.29987426,0.0033982063954868997,460,395,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21900-C,CALL,21900,85,21425.29987426,0.0033981986383173684,95,75,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-21900-P,PUT,21900,575,21425.29987426,0.0033981909997145097,605,545,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-22200-C,CALL,22200,45,21425.29987426,0.003398183370622386,50,40,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-22200-P,PUT,22200,770,21425.29987426,0.0033981757767305707,870,670,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-22500-C,CALL,22500,22.5,21425.15668682,0.003398168281612815,35,10,NA,NA
2023-03-09T18:13:41Z,2023-03-11,BTC-230311-22500-P,PUT,22500,1025,21425.3428582,0.003398160434741468,1165,885,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-19000-C,CALL,19000,2505,21425.3428582,0.019836508934741877,2975,2035,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-19000-P,PUT,19000,70,21425.3428582,0.01983650141923425,80,60,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-20000-C,CALL,20000,1847.5,21425.15668682,0.01983649383853499,2510,1185,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-20000-P,PUT,20000,152.5,21425.15668682,0.019836486207794744,160,145,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-21000-C,CALL,21000,792.5,21425.15668682,0.019836478765757178,805,780,NA,NA
