api,pair,interval,from,to,n,missing,id
fapi,DOGEUSDT,1h,2020-07-10T09:00:00Z,2024-10-01T13:00:00Z,37061,0,DOGEUSDT-fapi-1h
fapi,DOGEUSDT,1w,2020-07-06T00:00:00Z,2024-09-30T00:00:00Z,222,0,DOGEUSDT-fapi-1w
fapi,DOGEUSDT,30m,2020-07-10T09:00:00Z,2024-10-01T13:30:00Z,74122,0,DOGEUSDT-fapi-30m
fapi,DOGEUSDT,4h,2020-07-10T08:00:00Z,2024-10-01T12:00:00Z,9266,0,DOGEUSDT-fapi-4h
fapi,DOGEUSDT,5m,2020-07-10T09:00:00Z,2024-10-01T13:30:00Z,444727,0,DOGEUSDT-fapi-5m
fapi,DYMUSDT,15m,2024-02-07T07:00:00Z,2024-10-01T13:30:00Z,22779,0,DYMUSDT-fapi-15m
fapi,DYMUSDT,1M,2024-02-01T00:00:00Z,2024-10-01T00:00:00Z,9,0,DYMUSDT-fapi-1M
fapi,DYMUSDT,1d,2024-02-07T00:00:00Z,2024-10-01T00:00:00Z,238,0,DYMUSDT-fapi-1d
fapi,DYMUSDT,1h,2024-02-07T07:00:00Z,2024-10-01T13:00:00Z,5695,0,DYMUSDT-fapi-1h
fapi,DYMUSDT,1w,2024-02-05T00:00:00Z,2024-09-30T00:00:00Z,35,0,DYMUSDT-fapi-1w
fapi,DYMUSDT,30m,2024-02-07T07:00:00Z,2024-10-01T13:30:00Z,11390,0,DYMUSDT-fapi-30m
fapi,DYMUSDT,4h,2024-02-07T04:00:00Z,2024-10-01T12:00:00Z,1425,0,DYMUSDT-fapi-4h
fapi,DYMUSDT,5m,2024-02-07T07:00:00Z,2024-10-01T13:30:00Z,68335,0,DYMUSDT-fapi-5m
fapi,EDUUSDT,15m,2023-04-30T12:00:00Z,2024-10-01T13:30:00Z,49927,0,EDUUSDT-fapi-15m
fapi,EDUUSDT,1M,2023-04-01T00:00:00Z,2024-10-01T00:00:00Z,19,0,EDUUSDT-fapi-1M
fapi,EDUUSDT,1d,2023-04-30T00:00:00Z,2024-10-01T00:00:00Z,521,0,EDUUSDT-fapi-1d
fapi,EDUUSDT,1h,2023-04-30T12:00:00Z,2024-10-01T13:00:00Z,12482,0,EDUUSDT-fapi-1h
fapi,EDUUSDT,1w,2023-04-24T00:00:00Z,2024-09-30T00:00:00Z,76,0,EDUUSDT-fapi-1w
fapi,EDUUSDT,30m,2023-04-30T12:00:00Z,2024-10-01T13:30:00Z,24964,0,EDUUSDT-fapi-30m
fapi,EDUUSDT,4h,2023-04-30T12:00:00Z,2024-10-01T12:00:00Z,3121,0,EDUUSDT-fapi-4h
